id,name,alternativeNames
Aguascalientes,Aguascalientes,
Baja California,Baja California,
Baja California Sur,Baja California Sur,
Campeche,Campeche,
Chiapas,Chiapas,
Chihuahua,Chihuahua,
Coahuila,Coahuila,
Colima,Colima,
Distrito Federal,Distrito Federal,México DF
Durango,Durango,
México,México,Estado de México
Guanajuato,Guanajuato,
Guerrero,Guerrero,
Hidalgo,Hidalgo,
Jalisco,Jalisco,
Michoacán,Michoacán,
Morelos,Morelos,
Nayarit,Nayarit,
Nuevo León,Nuevo León,
Oaxaca,Oaxaca,
Puebla,Puebla,
Querétaro,Querétaro,
Quintana Roo,Quintana Roo,
San Luis Potosí,San Luis Potosí,
Sinaloa,Sinaloa,
Sonora,Sonora,
Tabasco,Tabasco,
Tamaulipas,Tamaulipas,
Tlaxcala,Tlaxcala,
Veracruz,Veracruz,
Yucatán,Yucatán,
Zacatecas,Zacatecas,
