name,id,alternativeNames,latitude,longitude
Aargau,AG,Argovia|Arg¢via|Argovie,47.4176,8.199949999999999
Appenzell Innerrhoden,AI,Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno,47.3092,9.395479999999999
Appenzell Ausserrhoden,AR,Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno,47.3911,9.397259999999999
Bern/Berne,BE,Berna|Berne,46.7988,7.65026
Basel-Landschaft,BL,,47.5056,7.72662
Basel-Stadt,BS,Bâle-Ville|Basel-City|Basel-Town|Basilea-Citad|Basilea Ciudad|Basilea città|Basiléia cidade,47.5605,7.5898
Fribourg,FR,Freiburg|Friburg|Friburgo,46.8411,6.85219
Genève,GE,Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra,46237,6.11764
Glarus,GL,Glaris|Glarona|Glaruna,47.0096,9.056509999999999
Graubünden/Grigioni,GR,Graubünden|Grigioni|Grischun|Grisons,46.6729,9.559530000000001
Jura,JU,Giura,47.3636,7.19817
Luzern,LU,Lucerna|Luzern,47096,8.172190000000001
Neuchâtel,NE,Neuenburg,46.9893,6.76076
Nidwalden,NW,Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo,46934,8.40344
Obwalden,OW,Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania,46.8686,8.20594
St. Gallen,SG,Saint-Gall|San Gallo|Son Gagl,47.1524,9.212669999999999
Schaffhausen,SH,Schaffhouse|Schaffusa|Sciaffusa,47.7205,8.623200000000001
Solothurn,SO,Solothurn,47.4325,7.41999
Schwyz,SZ,,47.0455,8.68573
Thurgau,TG,Thurgovie|Turgovia|Turg¢via,47.5858,9.14593
Ticino,TI,Tesino|Tessin,46.3604,8.790190000000001
Uri,UR,,46809,8.633010000000001
Vaud,VD,Vad|Waadt|Waadtland,46.6204,6.5118
Valais/Wallis,VS,Vallais|Vallese|Wallis,46.2023,7.61347
Zug,ZG,Zoug|Zugo,47.1578,8.547470000000001
Zürich,ZH,Turitg|Zurigo|Zürih|Zurique,47.4297,8.6609
